"","eachbond","coupon","ISIN","ISSUEDATE","MATURITYDATE","X2020.1.2","X2020.1.3","X2020.1.6","X2020.1.7","X2020.1.8","X2020.1.9","X2020.1.10","X2020.1.13","X2020.1.14","X2020.1.15"
"1","Canada, Government of...","10.50%","CA135087TZ75",1990-12-15,2021-03-15,110.28,110.27,110.27,110.23,110.2,110.09,110.06,110.03,110.02,110.01
"2","Canada, Government of...","2.75%","CA135087ZU15",2011-08-02,2022-06-01,102.53,102.59,102.62,102.59,102.58,102.52,102.52,102.46,102.47,102.51
"3","Canada, Government of...","1.25%","CA135087K452",2019-08-09,2021-11-01,99.27,99.31,99.36,99.34,99.32,99.27,99.25,99.24,99.25,99.28
"4","Canada, Government of...","0.75%","CA135087F585",2016-04-11,2021-09-01,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42
"5","Canada, Government of...","9.25%","CA135087UM44",1991-12-15,2022-06-01,117.73,117.79,117.82,117.77,117.74,117.63,117.56,117.52,117.51,117.54
"6","Canada, Government of...","9.75%","CA135087UE28",1991-05-09,2021-06-01,111.06,111.07,111.08,111.03,111.01,110.89,110.86,110.82,110.82,110.8
"7","Canada, Government of...","0.50%","CA135087G328",2016-10-11,2022-03-01,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61
"8","Canada, Government of...","3.25%","CA135087ZJ69",2010-07-19,2021-06-01,102.1,102.12,102.15,102.11,102.2,102.07,102.06,102.01,102.01,102.04
"9","Canada, Government of...","3.50%","CA135087YZ11",2009-09-08,2020-06-01,100.7,100.7,100.69,100.69,100.68,100.66,100.65,100.65,100.64,100.64
"10","Canada, Government of...","1.50%","CA135087K601",2019-11-04,2022-02-01,99.69,99.74,99.78,99.76,99.76,99.71,99.68,99.67,99.67,99.7
"11","Canada, Government of...","1.75%","CA135087J884",2019-02-11,2021-05-01,100.07,100.09,100.12,100.1,100.08,100.07,100.04,100.04,100.02,100.06
"12","Canada, Government of...","0.75%","CA135087F254",2015-10-19,2021-03-01,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93
"13","Canada, Government of...","0.75%","CA135087E596",2015-04-13,2020-09-01,99.26,99.28,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.3
"14","Canada, Government of...","1.25%","CA135087H565",2017-11-03,2020-02-01,99.95,99.95,99.95,99.95,99.95,99.96,99.96,99.96,99.96,99.96
"15","Canada, Government of...","1.50%","CA135087K296",2019-05-06,2021-08-01,99.73,99.76,99.79,99.76,99.75,99.72,99.7,99.68,99.7,99.72
"16","Canada, Government of...","2.25%","CA135087J629",2018-11-09,2021-02-01,100.55,100.58,100.6,100.59,100.57,100.56,100.52,100.53,100.52,100.54
"17","Canada, Government of...","1.50%","CA135087D929",2014-10-14,2020-03-01,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86
"18","Canada, Government of...","2.25%","CA135087J397",2018-07-27,2029-06-01,105.48,105.88,106.16,106,105.92,105.41,105.64,105.46,105.74,105.95
"19","Canada, Government of...","9.00%","CA135087VH40",1994-08-02,2025-06-01,137.81,138.04,138.22,138.09,138.07,137.69,137.67,137.64,137.73,137.9
"20","Canada, Government of...","5.75%","CA135087WL43",1998-02-02,2029-06-01,135.47,135.91,136.23,136.04,135.93,135.33,135.59,135.37,135.68,135.93
"21","Canada, Government of...","8.00%","CA135087UT96",1992-08-17,2023-06-01,120.79,120.91,120.96,120.91,120.91,120.73,120.67,120.63,120.64,120.72
"22","Canada, Government of...","2.25%","CA135087J546",2018-10-05,2024-03-01,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64
"23","Canada, Government of...","1.00%","CA135087F825",2016-08-03,2027-06-01,95.55,95.86,96.05,95.99,95.93,95.6,95.76,95.64,95.84,96
"24","Canada, Government of...","1.50%","CA135087J967",2019-04-05,2024-09-01,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1
"25","Canada, Government of...","2.25%","CA135087D507",2014-06-30,2025-06-01,103.29,103.49,103.65,103.54,103.55,103.33,103.3,103.26,103.36,103.53
"26","Canada, Government of...","2.00%","CA135087H235",2017-08-01,2028-06-01,102.84,103.21,103.45,103.34,103.27,102.85,103.07,102.9,103.15,103.34
"27","Canada, Government of...","1.50%","CA135087E679",2015-07-21,2026-06-01,99.28,99.49,99.67,99.57,99.56,99.29,99.28,99.25,99.37,99.54
"28","Canada, Government of...","2.50%","CA135087B451",2013-07-02,2024-06-01,103.53,103.86,103.99,103.88,103.82,103.65,103.7,103.61,103.7,103.8
"29","Canada, Government of...","8.00%","CA135087VW17",1996-05-01,2027-06-01,143.78,144.18,144.41,144.31,144.23,143.73,143.92,143.77,143.99,144.18
"30","Canada, Government of...","1.50%","CA135087A610",2012-07-30,2023-06-01,99.48,99.59,99.65,99.61,99.62,99.54,99.53,99.44,99.49,99.56
"31","Canada, Government of...","1.25%","CA135087K528",2019-10-11,2025-03-01,98.24,98.43,98.58,98.48,98.48,98.3,98.25,98.24,98.34,98.47
"32","Canada, Government of...","1.75%","CA135087H490",2017-10-06,2023-03-01,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38
